Origin,Trans
Shift Lyrics Right(_R),押后歌词(_R)
Help,帮助
Emotion Tool,情绪工具
Select All Control Parameters(_P),选择全部控制点(_P)
Overwrite style preset?,Overwrite style preset?
Collapse or Expand Audio Effects Area,收起或展开音频效果区域
Buffer Size,缓冲区大小
Do you really want to delete this style preset? This action cannot be undone.,Do you really want to delete this style preset? This action cannot be undone.
Invalid Name.,Invalid Name.
Cancel,取消
The following audio files cannot be found.,找不到以下音频文件。
Failed to delete tempo.,Failed to delete tempo.
The sequence data is optimized for the current version of VOCALOID5 Editor.,The sequence data is optimized for the current version of VOCALOID5 Editor.
Undo,撤销
Convert Phonemes to Match Language,发音符号匹配
Check for Updates,检查更新
Tag Name,Tag Name
Can not resize part.,Can not resize part.
Installation Complete.,安装完成。
Scissors,切分
Failed to add Audio track.,Failed to add Audio track.
Check for Installation Status...,检查安装状态...
Failed to duplicate Panpot.,Failed to duplicate Panpot.
Failed to move Tempo.,Failed to move Tempo.
Failed to initialize Lua Manager.,Failed to initialize Lua Manager.
Arrow,指针
Download New Content,下载新附件
Failed to set repeat playback section.,Failed to set repeat playback section.
Select All Master Volumes(_M),选择全部主控音量点(_M)
  (remaining {0} voices),  (remaining {0} voices)
Please close all open VOCALOID windows before opening sequence file.,Please close all open VOCALOID windows before opening sequence file.
Failed to addd Track.,Failed to addd Track.
Failed to resize VOCALOID Part.,Failed to resize VOCALOID Part.
Letter Mode,字符模式
Add VOCALOID Track(_V),添加VOCALOID轨道（_V）
Failed to add VOCALOID track.,Failed to add VOCALOID track.
New Voice,New Voice
Failed to move Audio part.,Failed to move Audio part.
Repeat,重复
Failed to launch VOCALOID Authorizer.,Failed to launch VOCALOID Authorizer.
Failed to open file.,Failed to open file.
Import Tempo And Beat...,输入节奏和节拍…
Failed to delete Panpot.,Failed to delete Panpot.
Failed to shift pitch. Error ,Failed to shift pitch. Error 
https://www.vocaloid.com/en,https://www.vocaloid.com/en
Sequence Files|*.mid;*.midi;*.vsqx;*.vpr|SMF|*.mid;*.midi|VOCALOID3/VOCALOID4|*.vsqx|VOCALOID5|*.vpr,Sequence Files|*.mid;*.midi;*.vsqx;*.vpr|SMF|*.mid;*.midi|VOCALOID3/VOCALOID4|*.vsqx|VOCALOID5|*.vpr
Copy(_C),复制(_C)
Open...,打开
Failed to initialize Lua Controller.,Failed to initialize Lua Controller.
Add Audio Track(_W),添加音轨(_W)
Stop,停止
Default Voice,默认声库
Failed to add note.,Failed to add note.
Original Voice,Original Voice
Export...,导出...
Failed to duplicate Master Volume.,Failed to duplicate Master Volume.
Bypass Effect Plug-ins,旁路效果器
Failed to perform multichannel audio mixdown.,Failed to perform multichannel audio mixdown.
Preferences...,全局设置...
Delete Style Presets(_D),删除Style预设(_D)
Audio Engine Output,音频输出参数
-,-
Customize Shortcuts,自定义快捷键
New Style Preset Name,New Style Preset Name
Failed to paste.,Failed to paste.
Quit VOCALOID5 Editor,退出VOCALOID5编辑器
A style preset with this name already exists. It cannot be overwritten.,A style preset with this name already exists. It cannot be overwritten.
Failed to move TimeSig.,Failed to move TimeSig.
Failed to initialize VSM.,Failed to initialize VSM.
Lyric Input Mode,歌词输入模式
Failed to add Tempo.,Failed to add Tempo.
"Save the changes? If not, the changes are lost.","Save the changes? If not, the changes are lost."
Update Now (Launch Browser),马上更新(打开浏览器)
A media file with this name already exists. It cannnot be overwritten.,媒体文件已存在，它不能被覆盖
Failed to add control parameter.,Failed to add control parameter.
Save As,Save As
Name Empty.,Name Empty.
Export to Audio File...,导出音频文件...
Failed to duplicate Tempo.,Failed to duplicate Tempo.
https://www.vocaloid.com/en/learn,https://www.vocaloid.com/en/learn
Failed to initialize Media Manager.,Failed to initialize Media Manager.
Edit,编辑
Failed to divide VOCALOID Part.,Failed to divide VOCALOID Part.
AudioDevice not found.,AudioDevice not found.
TimeSig View,节奏轨
AudioDevice changed.,AudioDevice changed.
Import File...,导入文件...
Failed to move VOCALOID part.,Failed to move VOCALOID part.
Failed to perform Half Tempo.,Failed to perform Half Tempo.
About VOCALOID5 Editor...,关于VOCALOID5编辑器
VOCALOID5 Sequence|*.vpr,VOCALOID5 Sequence|*.vpr
Getting content information.,获取内容信息。
Failed to divide Audio part.,Failed to divide Audio part.
Tag Name,标签名
Robot Voice could not be found.,Robot Voice could not be found.
Mixer,混音器
Installed Products,安装的产品
Failed to mix down audio.,Failed to mix down audio.
The Wav file could not be loaded.,The Wav file could not be loaded.
Audio,音频
Show or Hide Lower Zone,显示或隐藏下部区域
Failed to perform time stretch. Error ,Failed to perform time stretch. Error 
Timeout Wait Time (sec),超时等待时间(秒)
Measure Offset,小结数偏移
Select All Notes(_N),选择全部音符(_N)
Do you want to save this sequence?,Do you want to save this sequence?
Default Singing Skill could not be found.,Default Singing Skill could not be found.
Edit Style Preset Properties(_E),编辑Style预设属性(_E)
Open Recent...,打开最近文件...
Metronome,节拍器
Insert Lyrics,Insert Lyrics
Download New Content...,下载新附件...
Phoneme Lock(_P),锁定音素(_P)
Save As...,另存为...
Set start marker to song position(_S),标记当前位置为起始点(_S)
Media Name,媒体名称
Play,播放
Normalize Audio Wave(_N),标准化声音(_N)
Sampling Rate,音频采样率
Save Style,Save Style
Add,Add
View,显示
Part Name,Part Name
OK,确定
Edit Style Preset Properties,Edit Style Preset Properties
Job,Job
Bit,位
Tempo View,曲速轨
Failed to add VOCALOID part.,Failed to add VOCALOID part.
Duplicate(_D),复制(_D)
"No voice has been installed.

The VOCALOID5 Editor requires at least one installed voice to launch.

Please installl one separately.","No voice has been installed.

The VOCALOID5 Editor requires at least one installed voice to launch.

Please installl one separately."
Add VOCALOID Track,添加VOCALOID轨道
Relaunch VOCALOID5 Editor to apply changes.,重启VOALOID5编辑器以便令修改生效.
Failed to import file.,Failed to import file.
Failed to delete media.,Failed to delete media.
Delete Audio Effect(_D),删除音频效果(_D)
Copy,复制
MIDI Device,MIDI设备
Failed to set audio device.,Failed to set audio device.
Failed to initialize G2PA Manager.,Failed to initialize G2PA Manager.
Failed to save file. VOCALOID5 project size exceeds 2GB.,Failed to save file. VOCALOID5 project size exceeds 2GB.
Auto Scroll,自动混动
MIDIPart Property,MIDIPart Property
Add Audio part to Media(_M)...,将音频段落添加到媒体库（_M）...
"VOCALOID5 Editor cannot launch because the VOCALOID 5 Standalone Version, VSTi Version, or AU Version is already running.","VOCALOID5 Editor cannot launch because the VOCALOID 5 Standalone Version, VSTi Version, or AU Version is already running."
Style is not Selected.,Style is not Selected.
The file name contains invalid characters.,The file name contains invalid characters.
Failed to move track.,Failed to move track.
Reference Manual,操作手册
Check for editor updates upon launch.,启动时检查编辑器更新.
Double Tempo,加速一倍
Add VOCALOID Part to Media,添加VOCALOID段落到媒体库
Failed to add TimeSig.,Failed to add TimeSig.
