Origin,Trans
Shift Lyrics Right(_R),右移歌词(_R)
Help,帮助
Emotion Tool,情感工具
Select All Control Parameters(_P),选择所有控制参数(_P)
Overwrite style preset?,是否覆盖样式预设？
Collapse or Expand Audio Effects Area,折叠或展开音频效果区域
Buffer Size,缓冲区大小
Do you really want to delete this style preset? This action cannot be undone.,是否确实要删除此样式预设？这个行为是不可撤销的。
Invalid Name.,名称无效。
Cancel,取消
The following audio files cannot be found.,找不到以下音频文件。
Failed to delete tempo.,删除节拍失败。
The sequence data is optimized for the current version of VOCALOID5 Editor.,序列数据针对当前版本的VOCALOID5编辑器进行了优化。
Undo,撤消
Convert Phonemes to Match Language,将音素转换为匹配语言
Check for Updates,检查更新
Tag Name,标记名
Can not resize part.,无法调整区域大小。
Installation Complete.,安装完成。
Scissors,剪刀
Failed to add Audio track.,添加音轨失败。
Check for Installation Status...,检查安装状态...
Failed to duplicate Panpot.,无法复制 Panpot。
Failed to move Tempo.,移动速度失败。
Failed to initialize Lua Manager.,无法初始化Lua管理器。
Arrow,箭头
Download New Content,下载新内容
Failed to set repeat playback section.,无法设置重复播放部分。
Select All Master Volumes(_M),选择所有主音量(_M)
  (remaining {0} voices),  (剩余的{0}个声音)
Please close all open VOCALOID windows before opening sequence file.,在打开序列文件之前，请关闭所有打开的VOCALOID窗口。
Failed to addd Track.,添加曲目失败。
Failed to resize VOCALOID Part.,无法调整VOCALOID部件的大小。
Letter Mode,字母模式
Add VOCALOID Track(_V),添加 VOCALOID 音轨(_V)
Failed to add VOCALOID track.,添加 VOCALOID 曲目失败。
New Voice,新声音
Failed to move Audio part.,无法移动音频部件。
Repeat,重复
Failed to launch VOCALOID Authorizer.,无法启动VOCALOID授权程序。
Failed to open file.,无法打开文件。
Import Tempo And Beat...,导入速度和节拍...
Failed to delete Panpot.,无法删除 Panpot。
Failed to shift pitch. Error ,转换音调失败。错误
https://www.vocaloid.com/en,https://www.vocaloid.com/en
Sequence Files|*.mid;*.midi;*.vsqx;*.vpr|SMF|*.mid;*.midi|VOCALOID3/VOCALOID4|*.vsqx|VOCALOID5|*.vpr,序列文件|*.mid;*.midi;*.vsqx;*.vpr|SMF|*.mid;*.midi|VOCALOID3/VOCALOID4|*.vsqx|VOCALOID5|*.vpr
Copy(_C),复制(_C)
Open...,打开...
Failed to initialize Lua Controller.,初始化 Lua 控制器失败。
Add Audio Track(_W),添加音轨(_W)
Stop,暂停
Default Voice,默认语音
Failed to add note.,添加备注失败。
Original Voice,原声
Export...,导出...
Failed to duplicate Master Volume.,无法复制主音量。
Bypass Effect Plug-ins,旁路效果插件
Failed to perform multichannel audio mixdown.,无法执行多声道音频混合。
Preferences...,偏好.。
Delete Style Presets(_D),删除样式预设(_D)
Audio Engine Output,音频引擎输出
-,-
Customize Shortcuts,自定义快捷方式
New Style Preset Name,新样式预设名称
Failed to paste.,粘贴失败。
Quit VOCALOID5 Editor,退出VOCALOID5编辑器
A style preset with this name already exists. It cannot be overwritten.,具有此名称的样式预设已存在。它不能被覆盖。
Failed to move TimeSig.,无法移动TimeSig。
Failed to initialize VSM.,无法初始化VSM。
Lyric Input Mode,歌词输入模式
Failed to add Tempo.,无法添加节奏。
"Save the changes? If not, the changes are lost.",是否保存更改？否则，更改将丢失。
Update Now (Launch Browser),立即更新（启动浏览器）
A media file with this name already exists. It cannnot be overwritten.,已存在同名的媒体文件。它不能被覆盖。
Failed to add control parameter.,添加控制参数失败。
Save As,另存为
Name Empty.,名称为空。
Export to Audio File...,导出到音频文件...
Failed to duplicate Tempo.,复制节奏失败。
https://www.vocaloid.com/en/learn,https://www.vocaloid.com/en/learn
Failed to initialize Media Manager.,无法初始化媒体管理器。
Edit,编辑
Failed to divide VOCALOID Part.,无法分割VOCALOID部件。
AudioDevice not found.,未找到音频设备。
TimeSig View,TimeSig视图
AudioDevice changed.,音频设备已更改。
Import File...,导入文件...
Failed to move VOCALOID part.,无法移动VOCALOID部件。
Failed to perform Half Tempo.,未能执行半节拍。
About VOCALOID5 Editor...,关于VOCALOID5编辑器...
VOCALOID5 Sequence|*.vpr,VOCALOID5序列|*.vpr
Getting content information.,获取内容信息。
Failed to divide Audio part.,无法分割音频部分。
Tag Name,标记名
Robot Voice could not be found.,找不到 Robot 语音。
Mixer,混合器
Installed Products,已安装的产品
Failed to mix down audio.,混音失败。
The Wav file could not be loaded.,无法加载Wav文件。
Audio,音频
Show or Hide Lower Zone,显示或隐藏较低区域
Failed to perform time stretch. Error ,无法执行时间拉伸。错误
Timeout Wait Time (sec),超时等待时间（秒）
Measure Offset,测量偏移
Select All Notes(_N),选择所有笔记(_N)
Do you want to save this sequence?,是否要保存此序列？
Default Singing Skill could not be found.,找不到默认歌唱技能。
Edit Style Preset Properties(_E),编辑样式预设属性(_E)
Open Recent...,打开最近...
Metronome,节拍器
Insert Lyrics,插入歌词
Download New Content...,下载新内容...
Phoneme Lock(_P),音素锁(_P)
Save As...,另存为.。
Set start marker to song position(_S),将开始标记设置为歌曲位置(_S)
Media Name,介质名称
Play,玩
Normalize Audio Wave(_N),归一化音频波形(_N)
Sampling Rate,采样率
Save Style,保存样式
Add,增列
View,查看
Part Name,零件名称
OK,OK
Edit Style Preset Properties,编辑样式预设属性
Job,作业
Bit,Bit
Tempo View,节奏视图
Failed to add VOCALOID part.,无法添加VOCALOID部件。
Duplicate(_D),重复(_D)
"No voice has been installed.

The VOCALOID5 Editor requires at least one installed voice to launch.

Please installl one separately.",尚未安装语音。\r\n\r\nVOCALOID5编辑器需要至少一个已安装的语音才能启动。\r\n\r\n请单独安装一个。
Add VOCALOID Track,添加VOCALOID轨迹
Relaunch VOCALOID5 Editor to apply changes.,重新启动VOCALOID5编辑器以应用更改。
Failed to import file.,导入文件失败。
Failed to delete media.,删除介质失败。
Delete Audio Effect(_D),删除音频效果(_D)
Copy,复制
MIDI Device,MIDI设备
Failed to set audio device.,无法设置音频设备。
Failed to initialize G2PA Manager.,无法初始化G2PA管理器。
Failed to save file. VOCALOID5 project size exceeds 2GB.,无法保存文件。VOCALOID5项目大小超过2 GB。
Auto Scroll,自动滚动
MIDIPart Property,MIDIPart属性
Add Audio part to Media(_M)...,将音频部件添加到媒体(_M)...
"VOCALOID5 Editor cannot launch because the VOCALOID 5 Standalone Version, VSTi Version, or AU Version is already running.",VOCALOID5编辑器无法启动，因为VOCALOID 5独立版本、VSTi版本或AU版本已在运行。
Style is not Selected.,未选择样式。
The file name contains invalid characters.,文件名包含无效字符。
Failed to move track.,无法移动轨迹。
Reference Manual,参考手册
Check for editor updates upon launch.,在启动时检查编辑器更新。
Double Tempo,双节拍
Add VOCALOID Part to Media,将VOCALOID部件添加到介质
Failed to add TimeSig.,无法添加TimeSig。
"VOCALOID5 Editor not authorized.

Please enter a valid VOCALOID5 serial number into the VOCALOID Authorizer.

Authorize now?

(Clicking [Yes] will launch the VOCALOID Authorizer.)",VOCALOID5编辑器未授权。\r\n\r\n请在VOCALOID授权程序中输入有效的VOCALOID5序列号。\r\n\r\n立即授权？\r\n\r\n(单击[是]将启动VOCALOID授权程序。)
Join VOCALOID Parts(_J),加入VOCALOID部件(_J)
Add Audio Part to Media,将音频部件添加到媒体
Insert Lyrics...,插入歌词...
An archive entry was not found or was corrupt.,找不到存档条目或存档条目已损坏。
"Please authorize the voice using the Activate app that corresponds to the version of the voice.
(Voicebanks whose authorization grace periods have expired will not play.)

Please see the corresponding product's manual for authorization instructions.",请使用与语音版本对应的激活应用对语音进行授权。\r\n(授权宽限期已过的语音库将不会播放。)\r\n\r\n有关授权说明，请参阅相应产品的手册。
Join VOCALOID Parts,加入VOCALOID部件
Audio Mixdown of part,零件的音频合成
Duplicate,复制
Create Part on Song Position(_P),在歌曲位置上创建零件(_P)
View,查看
Import tempo and time sig?,是否导入节拍和时间符号？
Failed to duplicate TimeSig.,无法复制TimeSig。
Failed to duplicate VOCALOID Part.,无法复制VOCALOID部件。
Failed to move Track Volume.,无法移动曲目音量。
Tutorial,补习
"The edited data will be discarded.
This action cannot be undone.
Do you wish to continue?",编辑的数据将被丢弃。\r\n此操作无法撤消。\r\n是否要继续？
Redo,重做
Scissors(_S),剪刀(_S)
Failed to save media.,保存介质失败。
Customize Shortcuts,自定义快捷方式
Failed to initialize Database Manager.,无法初始化数据库管理器。
English,英语
Show or Hide Control Parameters Area,显示或隐藏控制参数区域
Failed to delete Track Volume.,无法删除曲目音量。
Don't check for updates upon launch.,不要在启动时检查更新。
Audio Mixdown,音频混合
Export to Audio File(_E)...,导出到音频文件(_E)...
Untitled,无题
Failed to copy.,复制失败。
Failed to initialize user configuration file. VOCALOID5 Editor will now close.,无法初始化用户配置文件。VOCALOID5编辑器现在将关闭。
note,注意事项
A file with this name already exists. Overwrite existing file?,具有此名称的文件已存在。是否覆盖现有文件？
Cannot add more tracks. Track count is at the limit.,无法添加更多曲目。曲目计数已达到极限。
Add New Type,添加新类型
Preferences,偏好
Add Audio Part to Media...,将音频部件添加到媒体...
VOCALOID Sequence|*.vpr;*.vsqx|All Files|*.*,类元音序列|*.vpr；*.vsqx|所有文件|*.*
Japanese,日文
Set end marker to song position(_E),将结束标记设置为歌曲位置(_E)
Stereo Out R,立体声输出R
No track selected.,未选择曲目。
Delete,删除
Check for new content upon launch.,在发布时检查新内容。
Failed to initialize Style Manager.,无法初始化样式管理器。
Audio Track Color,音轨颜色
Voice Bank used in project not installed.,未安装项目中使用的语音库。
Changed to installed Voice Bank.,已更改为已安装的语音库。
Audio Mixdown,音频混合
VOCALOID5 Editor,VOCALOID5编辑器
Cut(_T),切割(_T)
Failed to move Master Volume.,无法移动主卷。
Phonetic Symbol Mode,音标模式
Track Selection,曲目选择
Failed to initialize DSE.,无法初始化DSE。
Failed to get content information.,无法获取内容信息。
Audio Mixdown...,音频合成...
Select All Time Signatures(_T),选择所有时间签名(_T)
Failed to resize Audio part.,无法调整音频部件的大小。
Edit Media Properties(_E),编辑媒体属性(_E)
Failed to cut.,切割失败。
Sampling Rate,采样率
"Fatal Error: Failed to write synthesized audio file.

Please save your project under a different name and then relaunch the application.",致命错误：无法写入合成音频文件。\r\n\r\n请使用其他名称保存项目，然后重新启动应用程序。
Cut,剪切
Add Audio Effect(_A),添加音效(_A)
Server Error.,服务器错误。
Your software is up to date.,您的软件是最新的。
Select All,选择所有
